file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_AB00174_0906_4607636_to_4614334,ཤེས་པ་འཕངས་ལེགས་པར་བསྟོད་དེ་བསྒྲིམས་ནས་མི་རྟོག་པར་བཞག་པ་ན་བྱིང་བ་གི་སྐྱོན་ཅུང་ ,shes pa 'phangs legs par bstod de bsgrims nas mi rtog par bzhag pa na bying ba gi skyon cung _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00174_0906_4607636_to_4614334.wav,STT_AB,3,79,6.698,wav16k/STT_AB00174_0906_4607636_to_4614334.wav,ཤེས་པ་འཕངས་ལེགས་པར་ལྟོད་ཏེ་བསྒྲིམས་ནས་མི་རྟོག་པར་བཞག་པ་ན་བྱིང་བའི་སྐྱོན་
STT_PC0042_0205_1242666_to_1246294,ད་ཨ་མི་རི་ཀ་གིས་མ་འོངས་པ་ལ་ཡ་རྒྱ་ནག་ལ་ག་འདྲའི་བྱེད་ས་རེད་ཟེར། ད་ ,da a mi ri ka gis ma 'ongs pa la ya rgya nag la ga 'dra'i byed sa red zer/_da _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0042_0205_1242666_to_1246294.wav,STT_PC,3,65,3.628,wav16k/STT_PC0042_0205_1242666_to_1246294.wav,ད་ཨ་མི་རི་ཀ་གི་མ་འོངས་པ་ལཡ་རྒྱ་ནག་ལ་ག་འདྲས་བྱེད་ས་རེད་ཟེར་ཡ་ད།
STT_TT00761_1878_11590262_to_11595222,བདེན་འཛིན་དབུ་མའི་རིགས་པའི་དགག་བྱ་ཡིན་པ་བཤད་མི་འདུག་ཟེར་དུས། ཨེ་ནས། ད་ལྟའི་ཞུས་པ་ལམ་རིམ་ལ་སོགས་པ་ལས་གསུངས་པ་རེད།  ,bden 'dzin dbu ma'i rigs pa'i dgag bya yin pa bshad mi 'dug zer dus/_e nas/_da lta'i zhus pa lam rim la sogs pa las gsungs pa red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00761_1878_11590262_to_11595222.wav,STT_TT,3,114,4.96,wav16k/STT_TT00761_1878_11590262_to_11595222.wav,བདེན་འཛིན་དབུ་མའི་རིགས་པའི་དགག་བྱ་ཡིན་པ་བཤད་མི་འདུག་ཟེར་དུས། ཨེ་ནས་ད་ལྟི་ཞུས་པ་་ན་ལམ་རིམ་ལ་སོགས་པ་ལ་གསུངས་པ་རེད།
STT_MV0242_0307_2005993_to_2013667,ངས་ཁྱེད་ཚོར་དཔེ་གཅིག་བཞག་ཆོག ,ngas khyed tshor dpe gcig bzhag chog_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0242_0307_2005993_to_2013667.wav,STT_MV,3,29,7.674,wav16k/STT_MV0242_0307_2005993_to_2013667.wav,ངས་ཁྱེད་ཚོར་དཔེ་གཅིག་བཞག་ཆོག
STT_NS_M0346_0307_1930059_to_1933831,དགའ་བོ་རྒྱང་ཐག་རིང་པོའི་སྒང་ལ་དགའ་བོ་བྱས་མྱི་དེ། ཕར་ཕྱོགས་བུ་མོ་དེ་ཡང་ལ་དྭགས་རེད་ཡོད་བ།  ,dga' bo rgyang thag ring po'i sgang la dga' bo byas myi de/_phar phyogs bu mo de yang la dwags red yod ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0346_0307_1930059_to_1933831.wav,STT_NS,3,89,3.772,wav16k/STT_NS_M0346_0307_1930059_to_1933831.wav,དགའ་བོ་རྒྱང་ཐག་རིང་པོའི་སྒང་ལ་དགའ་བོ་བྱེད་མྱི་དེ། ཕར་ཕྱོགས་བུ་མོ་དེའི་ལ་དྭགས་རེད་ཡོད་བ།
STT_CS-L-2010_2012-P_P-D_D-B06_B03-6_5-R_R-01_0071_737192_to_740964,ངས་ཁྱོད་ལ་སྦྱིན་བདག་དོན་དགོས་ལོ། དེ་རིང་ངས་ཁྱོད་སྦྱིན་བདག་དོན་དགོས་ད། བཞག་ཤོག། ངས་སྦྱིན་བདག་དོན་བཞག་དགོས།  ,ngas khyod la sbyin bdag don dgos lo/_de ring ngas khyod sbyin bdag don dgos da/_bzhag shog/_ngas sbyin bdag don bzhag dgos/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2010_2012-P_P-D_D-B06_B03-6_5-R_R-01_0071_737192_to_740964.wav,STT_CS,3,107,3.772,wav16k/STT_CS-L-2010_2012-P_P-D_D-B06_B03-6_5-R_R-01_0071_737192_to_740964.wav,ངས་ཁྱོད་སྦྱིན་བདག་བྟོན་དགོས་ལོ། དེ་རིང་ངས་ཁྱོད་སྦྱིན་བདག་བྟོན་དགོས་ལབ་དགོ། ཤག ངས་སྦྱིན་བདག་དོན་ཤོག་ཀྱོ།
STT_PC0042_0204_1235781_to_1242430,ད་དམག་དོན་ལ་ཡ་ཞིབ་འཇུག་བྱེད་མྱི་མང་པོ་ཅིག་གིས། ཚོད་དཔག་དེ་ག་རེ་བྱེད་ཀི་ཡོད་རེད་ཟེར་ན། ད་དེའི་བྱེད་སྟངས་དེ་རྒྱ་ནག་གཞུང་གིས་ ,da dmag don la ya zhib 'jug byed myi mang po cig gis/_tshod dpag de ga re byed ki yod red zer na/_da de'i byed stangs de rgya nag gzhung gis _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0042_0204_1235781_to_1242430.wav,STT_PC,3,123,6.649,wav16k/STT_PC0042_0204_1235781_to_1242430.wav,ད་དམག་དོན་པ་ལ་ཡ་ཞིབ་འཇུག་བྱེད་མྱི་མང་པོ་ཅིག་གིས་ཚོད་དཔག་དེ་ག་རེ་བྱེད་ཀི་ཡོད་རེད་ཟེར་ན། ད་འདིའི་བྱེད་སྟངས་འདེ་རྒྱ་ནག་གཞུང་གིས་
STT_TT00761_1664_10364172_to_10367892,དེ་ལྟ་བུའི་དེ་ནས་དངོས་པོ་ལ། བདེན་པར་འཛིན་པའི་བདེན་འཛིན་དེ་ཡི་ཡུལ་དེ།  ,de lta bu'i de nas dngos po la/_bden par 'dzin pa'i bden 'dzin de yi yul de/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00761_1664_10364172_to_10367892.wav,STT_TT,3,70,3.72,wav16k/STT_TT00761_1664_10364172_to_10367892.wav,དེ་ལྟ་བུའི་དེ་ནས་དངོས་པོ་ལ་བདེན་པར་འཛིན་པའི་བདེན་འཛིན་དེའི་ཡུལ་དེ།
STT_TT00765_0648_3906732_to_3909004,དེར་ཐལ་ཟེར་ན། སོ་སོར་ཐར་པ་ཡིན་པ།  ,der thal zer na/_so sor thar pa yin pa/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00765_0648_3906732_to_3909004.wav,STT_TT,3,34,2.272,wav16k/STT_TT00765_0648_3906732_to_3909004.wav,དེར་ཐལ་ཟེར་ན། སོ་སོར་ཐར་པ་ཡིན་པ།
STT_TT00751_0197_1111032_to_1115224,དེ་ལ་བརྟེན་ནས་འབྲས་བུ་མ་ནོར་བ་ཅིག་ལ་བགྲོད་ཐུབ་ཡ་ཅིག་ཡོང་གི་ཡོད་ན། དེ་ལ་འཕགས་པའི་ནོར་ཟེར་གི་ཡོད་རེད།  ,de la brten nas 'bras bu ma nor ba cig la bgrod thub ya cig yong gi yod na/_de la 'phags pa'i nor zer gi yod red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00751_0197_1111032_to_1115224.wav,STT_TT,3,101,4.192,wav16k/STT_TT00751_0197_1111032_to_1115224.wav,དེ་ལ་བརྟེན་ནས་འབྲས་བུ་མ་ནོར་བ་ཅིག་ལ་འགྲོད་ཐུབ་ཡ་ཅིག་ཡོང་གི་ཡོད་ན། དེ་ལ་འཕགས་པའི་ནོར་ཟེར་གི་ཡོད་རེད།
STT_TT00761_1373_8607022_to_8612366,གཞན་སྟོང་གི་གནས་ལུགས། གྲུབ་མཐའ་བཤད་པའི་སྐབས་སུ་བསྡུས་བསྡུས་ཞེ་བོ་གསུངས་སོང་རེད།  ,gzhan stong gi gnas lugs/_grub mtha' bshad pa'i skabs su bsdus bsdus zhe bo gsungs song red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00761_1373_8607022_to_8612366.wav,STT_TT,3,81,5.344,wav16k/STT_TT00761_1373_8607022_to_8612366.wav,གཞན་སྟོང་གི་གནས་ལུགས། ཨ། གྲུབ་མཐའ་བཤད་པའི་སྐབས་སུ། བསདུས་བསྡུས་ཞེ་བོ་གསུངས་སོང་བ་རེད།
STT_PC0130_0087_713591_to_715991,ཨོ་ད་འདི་འདྲས་སེ་བསྡད་ན་ཡོང་བ་མི་འདུག་བསམ་བྱས། ཨེ་ནས་འགྱུར་ལྡོག་གཏང་ཡ།  ,o da 'di 'dras se bsdad na yong ba mi 'dug bsam byas/_e nas 'gyur ldog gtang ya/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0130_0087_713591_to_715991.wav,STT_PC,3,72,2.4,wav16k/STT_PC0130_0087_713591_to_715991.wav,ཨོ་ད་དེ་འདྲས་སེ་བསྡད་ན་ཡོང་མི་འདུག་བསམ་བྱས། ཨེ་ནས་འགྱུར་ལྡོག་བཏང་ཡ།
STT_TT00765_0271_1656611_to_1659587,ང་རང་ང་ཚོས་བཞག་པའི་སོ་ཐར་གི་སྡོམ་པའི་མཚན་ཉིད་ནི།  ,nga rang nga tshos bzhag pa'i so thar gi sdom pa'i mtshan nyid ni/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00765_0271_1656611_to_1659587.wav,STT_TT,3,50,2.976,wav16k/STT_TT00765_0271_1656611_to_1659587.wav,ང་རང་ང་ཚོས་བཞག་པའི་སོ་ཐར་གི་སྡོམ་པའི་མཚན་ཉིད་ནང།
STT_TT00762_0407_2322482_to_2324818,ལུགས་གཉིས་གང་རུང་གི་ཆོ་ག་ལ་བརྟེན་པའི་སེམས་བསྐྱེད།  ,lugs gnyis gang rung gi cho ga la brten pa'i sems bskyed/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00762_0407_2322482_to_2324818.wav,STT_TT,3,51,2.336,wav16k/STT_TT00762_0407_2322482_to_2324818.wav,ལུགས་གཉིས་གང་རུང་གི་ཆོ་ག་ལས་བརྟེན་པའི་སེམས་བསྐྱེད།
STT_TT00761_1551_9709598_to_9715093,རྗེ་རིན་པོ་ཆེ་འདི། འཕགས་པའི་གང་ཟག་ཅིག་ལ། བྱང་སེམས་འཕགས་པའི་གང་ཟག་ཅིག་ལ་བསྟེན་གི་ཡོད་རེད་ཟེར་གོ་རེད།  ,rje rin po che 'di/_'phags pa'i gang zag cig la/_byang sems 'phags pa'i gang zag cig la bsten gi yod red zer go red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00761_1551_9709598_to_9715093.wav,STT_TT,3,101,5.495,wav16k/STT_TT00761_1551_9709598_to_9715093.wav,རྗེ་རིན་པོ་ཆེ་འདི། འཕགས་པའི་གང་ཟག་ཅིག་ལ། བྱང་སེམས་འཕགས་པའི་གང་ཟག་ཅིག་ལ་བརྟེན་གི་ཡོད་རེད་ཟེར་གོ་རེད།
STT_TT00761_1298_8115771_to_8117819,ཁྱོད་རང་གིས་བཤད་ཡ་གཉིས་དེ་འགལ་འགྲོ་གི་འདུག་ཟེར་ན།  ,khyod rang gis bshad ya gnyis de 'gal 'gro gi 'dug zer na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00761_1298_8115771_to_8117819.wav,STT_TT,3,51,2.048,wav16k/STT_TT00761_1298_8115771_to_8117819.wav,ཁྱོད་རང་གིས་བཤད་ཡ་གཉིས་དེ་འགལ་འགྲོ་གི་འདུག་ཟེར་ན།
STT_NS_M0291_0055_377323_to_382351,ད་དེ་ཚོ་ཡོད་བ། ང་ག་རེ་བསམ་གྱི་འདུག་ལབ་ན། ད་ལྟ་ང་ཚོ་ཨེ་འདྲའི་འཛིན་གྲྭ་ཆེན་པོ་ཆགས་ཚར་རེད། ཨ་ནས།  ,da de tsho yod ba/_nga ga re bsam gyi 'dug lab na/_da lta nga tsho e 'dra'i 'dzin grwa chen po chags tshar red/_a nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0291_0055_377323_to_382351.wav,STT_NS,3,95,5.028,wav16k/STT_NS_M0291_0055_377323_to_382351.wav,ད་དེ་ཚོ་ཡོད་བ། ང་ག་རེ་བསམ་གི་འདུག་ལབ་ན་ད་ལྟ་ང་ཚོ་ཨེ་འདྲའི་འཛིན་གྲྭ་ཆེན་པོ་ཆགས་ཚར་རེད། ཨེ་ནས།
